Legajo;DNI;Apellido;Nombre;Email;Fecha;Código de Carrera;Plan de Estudios
12001;35120001;García;Martina;martina.garcia1@hotmail.com;02/03/2018;P;2015
12002;37450023;Rodríguez;Santiago;santiago.rodriguez2@yahoo.com.ar;03/03/2019;P;2015
12003;38901234;López;Valentina;valentina.lopez3@outlook.com;04/03/2020;P;2015
12004;36234567;Martínez;Tomás;tomas.martinez4@gmail.com;05/03/2019;P;2015
12005;39012345;González;Camila;camila.gonzalez5@hotmail.com;06/03/2021;P;2015
12006;34789012;Fernández;Ignacio;ignacio.fernandez6@yahoo.com.ar;07/03/2020;W;2019
12007;40123456;Torres;Lucía;lucia.torres7@outlook.com;08/03/2021;W;2019
12008;37654321;Ramírez;Mateo;mateo.ramirez8@gmail.com;09/03/2020;W;2019
12009;38765432;Sánchez;Florencia;florencia.sanchez9@hotmail.com;10/03/2022;W;2019
12010;36543210;Díaz;Bruno;bruno.diaz10@yahoo.com.ar;11/03/2021;W;2019
